branch_addr,branch_type,taken,target
0x1dbf4358,conditional_jump,0,0x1dbf4363
0x1dbf435d,conditional_jump,1,0x20672498
0x206724a1,conditional_jump,0,0x206724d5
0x206724cd,conditional_jump,1,0x1dbf4363
0x1dbf436b,return,1,0x1dbf42b6
0x1dbf42c0,conditional_jump,0,0x1dbf42cc
0x1dbf42c6,conditional_jump,0,0x206726d8
0x1dbf42d3,conditional_jump,0,0x2067263f
0x1dbf42ea,return,1,0x1dbf4222
0x1dbf4226,conditional_jump,1,0x1dbf423b
0x1dbf4247,conditional_jump,0,0x20672542
0x1dbf4258,direct_call,1,0x1ed41a40
0x1ed41a62,conditional_jump,0,0x20745b47
0x1ed41a81,conditional_jump,0,0x1ed41bc8
0x1ed41a89,conditional_jump,0,0x1ed41bc8
0x1ed41a96,conditional_jump,0,0x1ed41be4
0x1ed41aa9,conditional_jump,0,0x20745af6
0x1ed41ad6,conditional_jump,0,0x1ed41ae4
0x1ed41ae0,conditional_jump,0,0x1ed41ad0
0x1ed41ae2,direct_jump,1,0x1ed41b0d
0x1ed41b13,conditional_jump,0,0x2074598a
0x1ed41b1c,conditional_jump,0,0x1ed41b8e
0x1ed41b37,conditional_jump,0,0x2074592d
0x1ed41b55,conditional_jump,0,0x1ed41e42
0x1ed41b67,conditional_jump,1,0x1ed41b6f
0x1ed41ba0,conditional_jump,0,0x1ed41b8e
0x1ed41ba6,conditional_jump,0,0x20745950
0x1ed41bb0,conditional_jump,0,0x20745950
0x1ed41bc2,conditional_jump,1,0x1ed41a77
0x1ed41b67,conditional_jump,0,0x1ed41b6f
0x1ed41b6d,direct_jump,1,0x1ed41b73
0x1ed41a96,conditional_jump,1,0x1ed41be4
0x1ed41bf0,conditional_jump,0,0x20745b5a
0x1ed41bfe,conditional_jump,1,0x1ed41e2d
0x1ed41e33,direct_jump,1,0x1ed41c08
0x1ed41c15,conditional_jump,0,0x20745b73
0x1ed41c1e,conditional_jump,1,0x1ed41e38
0x1ed41e3d,direct_jump,1,0x1ed41c2e
0x1ed41c46,conditional_jump,0,0x1ed41c5c
0x1ed41c4b,conditional_jump,1,0x1ed41c5c
0x1ed41c6a,conditional_jump,0,0x20745aca
0x1ed41ca7,conditional_jump,0,0x1ed41cb6
0x1ed41cb2,conditional_jump,0,0x1ed41ca0
0x1ed41cb4,direct_jump,1,0x1ed41ce0
0x1ed41ce6,conditional_jump,0,0x207458bc
0x1ed41cf0,conditional_jump,0,0x1ed41d88
0x1ed41d07,conditional_jump,1,0x1ed41d4d
0x1ed41d5c,conditional_jump,0,0x1ed41d81
0x1ed41d66,direct_jump,1,0x1ed41d81
0x1ed41d9c,conditional_jump,0,0x1ed41d88
